Version	physical_time	simulation_time	Essai.priority	Toto.price	Le chef	Toto	Mean_Toto	Min_Toto	Max_Toto	Lolo	Mean_Lolo	Min_Lolo	Max_Lolo	
0.0	0	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	7200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	14400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	21600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	28800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	36000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	43200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	50400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	57600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	64800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	72000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	79200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	86400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	93600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	100800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	108000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	115200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	122400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	129600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	136800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	144000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	151200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	158400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	165600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	172800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	180000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	187200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	194400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	201600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	208800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	216000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	223200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	230400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	237600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	244800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	252000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	259200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	266400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	273600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	280800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	288000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	295200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	302400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	309600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	316800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	324000	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	331200	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	338400	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	345600	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
0.0	352800	0	None	None	Erwin!	12.0	12.0	12.0	12.0	14.0	14.0	14.0	14.0	
