Version	path	Natures	physical_time	simulation_time	RTE.price	James Bond.dissatisfaction	James Bond.money	James Bond.LVE	Essai.energy	Essai.min_energy	Essai.price	Essai.priority	Toto.energy	Toto.min_energy	Toto.price	conso_0.energy	conso_0.min_energy	conso_0.price	conso_0.priority	conso_1.energy	conso_1.min_energy	conso_1.price	conso_1.priority	conso_2.energy	conso_2.min_energy	conso_2.price	conso_2.priority	conso_3.energy	conso_3.min_energy	conso_3.price	conso_3.priority	conso_4.energy	conso_4.min_energy	conso_4.price	conso_4.priority	conso_5.energy	conso_5.min_energy	conso_5.price	conso_5.priority	conso_6.energy	conso_6.min_energy	conso_6.price	conso_6.priority	conso_7.energy	conso_7.min_energy	conso_7.price	conso_7.priority	conso_8.energy	conso_8.min_energy	conso_8.price	conso_8.priority	conso_9.energy	conso_9.min_energy	conso_9.price	conso_9.priority	prod_0.energy	prod_0.min_energy	prod_0.price	prod_1.energy	prod_1.min_energy	prod_1.price	prod_2.energy	prod_2.min_energy	prod_2.price	prod_3.energy	prod_3.min_energy	prod_3.price	prod_4.energy	prod_4.min_energy	prod_4.price	prod_5.energy	prod_5.min_energy	prod_5.price	prod_6.energy	prod_6.min_energy	prod_6.price	prod_7.energy	prod_7.min_energy	prod_7.price	prod_8.energy	prod_8.min_energy	prod_8.price	prod_9.energy	prod_9.min_energy	prod_9.price	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-29 17:43:36.876398	0	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-29 18:43:36.876398	1	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-29 19:43:36.876398	2	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-29 20:43:36.876398	3	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-29 21:43:36.876398	4	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-29 22:43:36.876398	5	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-29 23:43:36.876398	6	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-30 00:43:36.876398	7	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-30 01:43:36.876398	8	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
0.0	./Results/Case_29_03_2019-17_43_36	dict_keys(['LVE'])	2019-03-30 02:43:36.876398	9	0	0	0	contrat classique	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	
